שם הצעת החוק,מדרג,מספר חוק,ניקוד לחוק,קישור להצעה,הסבר הדירוג,הערות אחרות,הגיע להצבעה?,עבר?,יוזם ראשון,חתומים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
הצעת חוק-יסוד: ישראל - מדינת הלאום של העם היהודי (תיקון - ביטול החוק),,פ/11/23,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085592,,,1,0,אוסאמה סעדי,אחמד טיבי,סונדוס סאלח,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,אוסאמה סעדיאחמד טיביסונדוס סאלח
"הצעת חוק הפעלת תחבורה ציבורית ביום המנוחה השבועי, התשף-2020""",dup_laws_bot,פ/12/23,-2,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085644,יז ראה חוק פ/113/22 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2081212,,1,0,תמר זנדברג,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תמר זנדברג
"הצעת חוק הגנת הצרכן (תיקון - מאגר צרכנים להגבלת שיחות שיווק מרחוק), התשף-2020""",,פ/13/23,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085617,,,0,0,מירב כהן,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מירב כהן
"הצעת חוק לתיקון פקודת התעבורה (פטור מאגרת רישיון לרכב חשמלי), התשף-2020""",,פ/14/23,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085615,,,0,0,יזהר שי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,יזהר שי
"הצעת חוק הגנת הצרכן (תיקון - חובת הקלטה של עסקה טלפונית), התשף-2020""",dup_laws_bot,פ/15/23,-1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085601,מי שרוצה להקליט שיקליט. אין להטיל את החובה על צד אחד. ראה חוק פ/1407/22 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2083156,,0,0,אורלי לוי אבקסיס,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,אורלי לוי אבקסיס
"הצעת חוק הדחת נציג ציבור התומך במאבק מזוין נגד מדינת ישראל (תיקוני חקיקה), התשף-2020""",,פ/16/23,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085653,,,0,0,שלמה קרעי,משה ארבל,דסטה גדי יברקן,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,שלמה קרעימשה ארבלדסטה גדי יברקן
"הצעת חוק חג המצות (איסורי חמץ) (תיקון - ביטול החוק), התשף-2019""",bignafcomp@gmail.com,פ/17/23,2,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085612,ביטול חוק אנטי ליברלי ראה חוק פ/58/22 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2081388,,0,0,תמר זנדברג,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תמר זנדברג
"הצעת חוק חינוך ממלכתי (תיקון - מימון מוסדות חינוך מוכרים לא רשמיים), התשף-2020""",,פ/18/23,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085647,,,0,0,משה אבוטבול,מיכאל מלכיאלי,משה ארבל,ינון אזולאי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,משה אבוטבולמיכאל מלכיאלימשה ארבלינון אזולאי
"הצעת חוק ביטוח בריאות ממלכתי (תיקון - הרחבת הסדרי הבחירה), התשף-2020""",bignafcomp@gmail.com,פ/19/23,-2,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085654,יז,,0,0,יזהר שי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,יזהר שי
"הצעת חוק החולה הנוטה למות (תיקון - מוות במרשם רופא), התשף-2020""",,פ/20/23,2,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085649,ראה חוק פ/91/22 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2081472,,1,0,עפר שלח,קארין אלהרר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,עפר שלחקארין אלהרר
"הצעת חוק משפחות חיילים שנספו במערכה (תגמולים ושיקום) (תיקון - גמול לאח הנספה), התשף-2020""",,פ/21/23,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085625,,,0,0,מיכל שיר סגמן,מיכאל מלכיאלי,איתן גינזבורג,איציק שמולי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מיכל שיר סגמןמיכאל מלכיאליאיתן גינזבורגאיציק שמולי
"הצעת חוק דמי מחלה (היעדרות בשל מחלת ילד) (תיקון - מחלת תינוק), התשף-2020""",,פ/22/23,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085607,,,0,0,משה אבוטבול,מיכאל מלכיאלי,ינון אזולאי,משה ארבל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,משה אבוטבולמיכאל מלכיאליינון אזולאימשה ארבל
הצעת חוק-יסוד: הכנסת (תיקון - מניין חברי הכנסת במליאה),,פ/23/23,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085685,,,0,0,שרן מרים השכל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,שרן מרים השכל
"הצעת חוק דיני העבודה (תיקוני חקיקה), התשף-2020""",bignafcomp@gmail.com,פ/24/23,3,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085640,"מספר צעדים חשובים כדי להגביל את כח הההסתדרות לקבוע מדיניות במדינה: הגבלת שביתות לסכסוך עבודה בין העובדים לבין מעסיקם באופן שהמעסיק יכול להשפיע, מונע שביתות פוליטיות שתכליתן לסחוט מדיניות שמיטיבה עם ההסתדרות, אחריות לנזקים על ארגון העבודים במקרה של שביתה לא לגיטימית, שביתות אהדה רק בהסכמה של רוב העובדים, הגבלת שביתה שפוגעת בשירותים חיוניים באופן חריג,",,1,0,מתן כהנא,אורי מקלב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מתן כהנאאורי מקלב
"הצעת חוק למניעת אלימות כלכלית בין בני זוג ובני משפחה, התשף-2020""",bignafcomp@gmail.com,פ/25/23,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085680,צעד לגיטימי אך לא קשור לליברליזם.,,1,0,יואב סגלוביץ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,יואב סגלוביץ'
"חוק הבטחת הכנסה (תיקון מס' 55), התשפא-2020""",bignafcomp@gmail.com,פ/26/23,-1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085639,איפשור להגשת בקשה רטרואקטיבית להבטחת הכנסה מביטוח לאומי לאזרח ותיק. יגדיל את הוצאות המדינה. שינינו את הדירוג שנתנו בכנסת ה22,,1,1,איתן גינזבורג,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,איתן גינזבורג
"הצעת חוק הביטוח לאומי (תיקון - ביטוח זכויות עצמאי שעיקר הכנסתו מעסק שמצוי בפשיטת רגל או בפירוק), התשף-2020""",,פ/27/23,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085634,,,0,0,יעקב אשר,משה גפני,אורי מקלב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,יעקב אשרמשה גפניאורי מקלב
הצעת חוק-יסוד: הממשלה (תיקון - הגבלת כהונת ראש הממשלה לשתי תקופות כהונה רצופות),bignafcomp@gmail.com,פ/28/23,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085588,ממשל לא קשור,,1,0,עודד פורר,יוליה מלינובסקי קונין,יבגני סובה,אלי אבידר,חמד עמאר,אלכס קושניר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,עודד פורריוליה מלינובסקי קוניןיבגני סובהאלי אבידרחמד עמאראלכס קושניר
"הצעת חוק לתיקון פקודת מס הכנסה (החזר בתשלום למעונות יום לאמהות), התשף-2020""",bignafcomp@gmail.com,פ/29/23,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085757,היה יכול הליות ניכוי הוגן ולירבלי של הוצאות עבדה לגיטימיות. אבל הוכנס עיוות שמגביל לפי רמת שכר.,,1,0,יבגני סובה,עודד פורר,אלי אבידר,יוליה מלינובסקי קונין,חמד עמאר,אלכס קושניר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,יבגני סובהעודד פורראלי אבידריוליה מלינובסקי קוניןחמד עמאראלכס קושניר
"הצעת חוק הבחירות לכנסת (תיקון - הצבעת אזרחים מחוץ לישראל), התש""ף-2020",bignafcomp@gmail.com,פ/30/23,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085797,לא ניתן לקבוע,,1,0,צבי האוזר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,צבי האוזר
"הצעת חוק העונשין (תיקון - פרסום מודעות שעולה מהן הפליה), התשף-2020""",,פ/31/23,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085744,,,0,0,יאיר גולן,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,יאיר גולן
"הצעת חוק ההוצאה לפועל (תיקון - ביטול הגבלת רישיון נהיגה), התשף-2020""",,פ/32/23,1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085730,ראה חוק פ/85/22 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2081528,,1,0,שלמה קרעי,יעקב אשר,דסטה גדי יברקן,יעקב טסלר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,שלמה קרעייעקב אשרדסטה גדי יברקןיעקב טסלר
"הצעת חוק אימוץ ילדים (תיקון - אימוץ על ידי הורה יחיד), התשף-2020""",ypz1094@gmail.com,פ/33/23,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085787,,,0,0,ניצן הורוביץ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ניצן הורוביץ
"הצעת חוק זכות יוצרים (תיקון - התרת ביצוע פומבי של יצירה מוסיקלית בעסק קטן), התשף-2020""",,פ/34/23,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085699,,,0,0,מיכל שיר סגמן,מיכאל מלכיאלי,איתן גינזבורג,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מיכל שיר סגמןמיכאל מלכיאליאיתן גינזבורג
"הצעת חוק לשכת עורכי הדין (תיקון - ייצוג בפני בוררות המתנהלת על פי דין דתי), התשף-2020""",,פ/35/23,1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085700,ראה חוק פ/558/22 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2081396,,0,0,מיכאל מלכיאלי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מיכאל מלכיאלי
"הצעת חוק איסור ייבוא ומכירת כבד של בעלי חיים שעברו התעללות, התשף-2020""",,פ/36/23,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085660,,,0,0,מיקי חיימוביץ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מיקי חיימוביץ'
"הצעת חוק לתיקון דיני הרשויות המקומיות (ביטול סמכות שר הפנים לעניין חוקי עזר בדבר פתיחתם וסגירתם של עסקים בימי מנוחה), התשף-2020""",dup_laws_bot,פ/37/23,2,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085677,חוק שמבטל את סמכותו של שר הפנים לסגור עסקים בשבת. ראה חוק פ/13/22 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2081208,,1,0,יוליה מלינובסקי קונין,עודד פורר,אלי אבידר,יבגני סובה,חמד עמאר,אלכס קושניר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,יוליה מלינובסקי קוניןעודד פורראלי אבידריבגני סובהחמד עמאראלכס קושניר
"הצעת חוק איסור הונאה בכשרות (תיקון - כשרות בלבד ובית אוכל הפתוח בשבת), התשף-2020""",dup_laws_bot,פ/38/23,1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085664,"אמנם גופים האחראים על כשרות צריכים להיות עסק לכל דבר, ולקוחות אמורים לבחור את העסק שהם הם רוצים את שרותיו, כל עוד זה הוא איננו המצב, רצוי שהכשרות לא תפעל לפי שיקולים שאינם עניינה, אלא רק בהקשר המזון. ראה חוק פ/191/22 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2081591",,0,0,אלעזר שטרן,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,אלעזר שטרן
